name,url,price,description,image_urls
GLAMIRAChain Flat Snake 3 mm,https://www.glamira.com/glamira-chain-flat-snake-3-mm.html,$978.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12124flat-snake-3-mm/alloycolour/yellow.jpg
GLAMIRAChain Thin Gourmet,https://www.glamira.com/glamira-chain-thin-gourmet.html,$957.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12124thin-gourmet/alloycolour/yellow.jpg
GLAMIRAChain Light Open Curb,https://www.glamira.com/glamira-chain-light-open-curb.html,$614.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12124light-open-curb/alloycolour/yellow.jpg
GLAMIRAChain Twist 50 Micron,https://www.glamira.com/glamira-chain-twist-50-micron.html,$915.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12124twist-50-micron/alloycolour/yellow.jpg
GLAMIRAChain Flat Mariner,https://www.glamira.com/glamira-chain-flat-mariner.html,$683.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12124flat-mariner/alloycolour/yellow.jpg
GLAMIRAChain Ball 3 mm,https://www.glamira.com/glamira-chain-ball-3-mm.html,"$1,612.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12124ball-3-mm/alloycolour/yellow.jpg
GLAMIRAChain Rolo,https://www.glamira.com/glamira-chain-rolo.html,$653.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12124rolo/alloycolour/yellow.jpg
GLAMIRAChain Herringbone,https://www.glamira.com/glamira-chain-herringbone.html,"$1,459.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12124herringbone/alloycolour/yellow.jpg
GLAMIRAChain Risata,https://www.glamira.com/glamira-chain-risata.html,$230.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12124risata/alloycolour/yellow.jpg
GLAMIRAChain Thin Flat Mariner,https://www.glamira.com/glamira-chain-thin-flat-mariner.html,$504.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12124thin-flat-mariner/alloycolour/yellow.jpg
GLAMIRAChain Paperclip with Rolo,https://www.glamira.com/glamira-chain-paperclip-with-rolo.html,"$1,595.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12124paperclip-with-rolo/alloycolour/yellow.jpg
GLAMIRAChain Square Curb,https://www.glamira.com/glamira-chain-square-curb.html,$589.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12124square-curb/alloycolour/yellow.jpg
GLAMIRAChain Thin Square Curb,https://www.glamira.com/glamira-chain-thin-square-curb.html,$436.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12124thin-square-curb/alloycolour/yellow.jpg
GLAMIRAChain Thin Link,https://www.glamira.com/glamira-chain-thin-link.html,$564.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12124thin-link/alloycolour/yellow.jpg
GLAMIRAChain Wide Herringbone,https://www.glamira.com/glamira-chain-wide-herringbone.html,"$1,227.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12124wide-herringbone/alloycolour/yellow.jpg
GLAMIRAChain Rope 2 mm,https://www.glamira.com/glamira-chain-rope-2-mm.html,$419.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12124rope-2-mm/alloycolour/yellow.jpg
GLAMIRAChain Anchor with Bar,https://www.glamira.com/glamira-chain-anchor-with-bar.html,$677.00,14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12124anchor-with-bar/alloycolour/yellow.jpg
GLAMIRAChain Curb 5 mm,https://www.glamira.com/glamira-chain-curb-5-mm.html,"$1,637.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12162curb5mm/alloycolour/yellow.jpg
GLAMIRAChain Byzantina,https://www.glamira.com/glamira-chain-byzantina.html,"$2,922.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12162byzantina/alloycolour/yellow.jpg
GLAMIRAChain Thin Byzantina,https://www.glamira.com/glamira-chain-thin-byzantina.html,"$2,043.00",14K Yellow Gold,https://cdn-media.glamira.com/media/product/newgeneration/view/1/sku/12162thinbyzantina/alloycolour/yellow.jpg
